Total word count: 73402
Unique word count: 7234
Words that occurred only once: 1123
Average count of words per document: 181
um
video
uh
yeah
peopl
thing
guy
time
xxxx
good
well
lot
gonna
will
day
kind
talk
love
work
stuff
year
caus
week
theyr
pretti
start
three
watch
thi
hope
Term, Term Frequency, Inverse Document Frequency, TF * IDF, Probability
um, 2375, 0.13803403469844766, 327.8308324088132, 0.03235606659219095
video, 1014, 0.16390159604615642, 166.1962183908026, 0.013814337483992262
uh, 962, 0.26198909142549426, 252.03350595132548, 0.013105909920710607
yeah, 884, 0.19984118467664974, 176.65960725415837, 0.012043268575788125
peopl, 796, 0.2334693621404984, 185.84161226383674, 0.010844391161003787
thing, 770, 0.18642561662084708, 143.54772479805226, 0.01049017737936296
guy, 609, 0.2739429051949996, 166.83122926375475, 0.008296776654587069
time, 603, 0.20498082432906087, 123.60343707042371, 0.008215035012669954
xxxx, 546, 0.36334331642431056, 198.38545076767358, 0.007438489414457372
good, 541, 0.24844651811015114, 134.40956629759177, 0.007370371379526444
well, 509, 0.26198909142549426, 133.35244753557657, 0.0069344159559685025
lot, 507, 0.2659372502704866, 134.8301858871367, 0.006907168741996131
gonna, 501, 0.3836648939630216, 192.21611187547384, 0.006825427100079017
will, 480, 0.2699216312620754, 129.5623830057962, 0.006539331353369118
day, 439, 0.311915138949012, 136.9307459986163, 0.005980763466935506
kind, 432, 0.35110886000729885, 151.6790275231531, 0.005885398218032206
talk, 404, 0.3415635421010685, 137.99167100883167, 0.005503937222419007
love, 374, 0.4022613824546801, 150.44575703805037, 0.005095229012833438
work, 348, 0.4361196497156476, 151.76963810104536, 0.0047410152311926105
stuff, 329, 0.4077242781561823, 134.14128751338396, 0.004482166698455083
year, 327, 0.46650227870936845, 152.5462451379635, 0.004454919484482712
caus, 325, 0.4216899342930061, 137.04922864522698, 0.00442767227051034
week, 320, 0.46025332943236685, 147.2810654183574, 0.004359554235579412
theyr, 297, 0.5025776441546481, 149.26556031393048, 0.004046211274897142
pretti, 283, 0.40498424079015344, 114.61054014361342, 0.0038554807770905426
start, 283, 0.44501336287563, 125.93878169380328, 0.0038554807770905426
three, 283, 0.43906403036242886, 124.25512059256737, 0.0038554807770905426
watch, 282, 0.4188606442741419, 118.11870168530801, 0.003841857170104357
thi, 258, 0.4274044178174355, 110.27033979689836, 0.0035148906024359008
hope, 255, 0.4274044178174355, 108.98812654344604, 0.003474019781477344
